tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2007-04-10,1260,FLORENCIO VARELA Nº 3,Buenos Aires,Protocolo 21,2007,05,SEDAN 5 PTAS,044,FIAT,604,PALIO ELX 1.7TD 2007,1,Privado,Física,BOSQUES,BUENOS AIRES,Masculino,1975,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2011-10-28,1264,ADROGUE Nº 5,Buenos Aires,Nacional,2011,12,SEDAN 4 PTAS,17,FIAT,AU,SIENA EL 1.4 BENZINA,1,Privado,Física,LONGCHAMPS,BUENOS AIRES,Masculino,2000,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2007-10-17,1264,ADROGUE Nº 5,Buenos Aires,Protocolo 21,2007,04,RURAL 5 PUERTAS,047,FORD,735,ECOSPORT 1.4L TDCI XL PLUS MP3,1,Privado,Física,LONGCHAMPS,BUENOS AIRES,Masculino,1967,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2006-01-12,1265,PILAR Nº 3,Buenos Aires,Protocolo 21,2006,05,SEDAN 5 PTAS,055,HONDA,A18,FIT LX-L,1,Privado,Física,DEL VISO,BUENOS AIRES,Masculino,1988,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,1997-06-24,1265,PILAR Nº 3,Buenos Aires,Nacional,1997,12,SEDAN 4 PTAS,17,FIAT,28,SIENA EL 4P,1,Privado,Física,LAGOMARSINO,BUENOS AIRES,No identificado,1994,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,1996-12-23,1266,MALVINAS ARGENTINAS Nº 3,Buenos Aires,Nacional,1996,18,SEDAN 3 PTAS,53,VOLKSWAGEN,11,GOL GLI,1,Privado,Física,GRAND BOURG,BUENOS AIRES,No identificado,1950,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2018-06-21,1266,MALVINAS ARGENTINAS Nº 3,Buenos Aires,Protocolo 21,2018,04,RURAL 5 PUERTAS,112,RENAULT,A15,DUSTER PH2 PRIVILEGE 1.6,1,Privado,Física,MALVINAS ARGENTINAS,BUENOS AIRES,Femenino,1974,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2013-10-04,1266,MALVINAS ARGENTINAS Nº 3,Buenos Aires,Protocolo 21,2013,05,SEDAN 5 PUERTAS,112,RENAULT,926,SANDERO STEPWAY PRIVILEGE NAV,1,Privado,Física,TORTUGUITAS,BUENOS AIRES,No identificado,1988,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2014-11-05,1268,TANDIL Nº 3,Buenos Aires,Nacional,2014,22,FURGON,29,MERCEDES BENZ,ET,SPRINTER 411 CDI/F 3250 STREET V1,1,Privado,Física,TANDIL,BUENOS AIRES,Masculino,1968,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2009-04-16,1280,ESCOBAR Nº 3 (EX. INGENIERO MASCHWITZ),Buenos Aires,Protocolo 21,2009,22,SEDAN 3 PTAS,136,VOLKSWAGEN,274,GOL 1.6,1,Privado,Física,MASCHWITZ,BUENOS AIRES,No identificado,1991,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2013-10-31,1286,LA PLATA Nº 15,Buenos Aires,Importado,2013,05,SEDAN 5 PUERTAS,047,FORD,A33,FIESTA 1.6L TITANIUM POWERSHIFT,1,Privado,Física,VILLA ELISA,BUENOS AIRES,Femenino,1986,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2013-04-09,1288,MORENO Nº 5,Buenos Aires,Protocolo 21,2013,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,463,GOL 1.4 L,1,Privado,Física,PASO DEL REY,BUENOS AIRES,Masculino,1984,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2013-06-14,1289,QUILMES Nº 9,Buenos Aires,Protocolo 21,2013,04,RURAL 5 PTAS,G89,CHERY,001,TIGGO 2.0 COMFORT,1,Privado,Física,QUILMES,BUENOS AIRES,Femenino,1999,ARGENTINA,50,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,1987-04-24,1290,LA MATANZA Nº 13,Buenos Aires,Nacional,1987,20,PICK-UP,19,FORD,11,F-100,1,Privado,Física,SAN JUSTO,BUENOS AIRES,No identificado,1950,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2006-05-15,1293,PILAR Nº 4,Buenos Aires,Protocolo 21,2006,04,RURAL 5 PTAS,136,VOLKSWAGEN,254,GOL COUNTRY 1.9SD,1,Privado,Física,PILAR,BUENOS AIRES,Masculino,1993,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2013-06-18,1300,SAN MARTIN Nº 9,Buenos Aires,Importado,2013,02,SEDAN 4 PUERTAS,136,VOLKSWAGEN,365,VOLKSWAGEN VENTO 2.5,1,Privado,Física,JOSE LEON SUAREZ,BUENOS AIRES,No identificado,2000,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2013-01-23,1301,TIGRE Nº 6,Buenos Aires,Importado,2013,05,SEDAN 5 PUERTAS,047,FORD,908,FIESTA KINETIC DESIGN TITANIUM,1,Privado,Física,TIGRE,BUENOS AIRES,Femenino,1998,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2011-04-04,1305,HURLINGHAM Nº 3,Buenos Aires,Protocolo 21,2011,05,SEDAN 5 PTAS,136,VOLKSWAGEN,413,GOL TREND 1.6,1,Privado,Física,VILLA TESEI,BUENOS AIRES,Femenino,1967,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2005-05-18,1306,PILAR Nº 5,Buenos Aires,Protocolo 21,2005,04,RURAL 5 PTAS,136,VOLKSWAGEN,254,GOL COUNTRY 1.9SD,1,Privado,Física,DEL VISO,BUENOS AIRES,Femenino,1997,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2012-04-27,1307,LANUS Nº 10,Buenos Aires,Nacional,2012,17,SEDAN 5 PTAS,37,RENAULT,XG,CLIO 5P AUTHENTIQUE 1.2 PACK I /2012,1,Privado,Física,VILLA JARDIN,BUENOS AIRES,Masculino,1988,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2010-02-24,1307,LANUS Nº 10,Buenos Aires,Importado,2010,02,SEDAN 4 PUERTAS,136,VOLKSWAGEN,335,BORA 1.8T,1,Privado,Física,LANÚS OESTE,BUENOS AIRES,No identificado,1982,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2004-12-23,1307,LANUS Nº 10,Buenos Aires,Nacional,2004,22,FURGON VIDRIADO C/ASIENTOS,37,RENAULT,KB,KANGOO RN EXP.DIE DA AA 2PL,1,Privado,Física,LANUS,BUENOS AIRES,Femenino,1992,ARGENTINA,100,06,200
